,date,dayDeaths
782167,2020-10-19,3
786158,2020-10-20,3
790149,2020-10-21,3
794140,2020-10-22,2
798131,2020-10-23,2
802122,2020-10-24,0
806113,2020-10-25,0
810104,2020-10-26,3
814095,2020-10-27,1
818086,2020-10-28,1
822078,2020-10-29,1
826070,2020-10-30,1
830062,2020-10-31,2
834054,2020-11-01,2
838046,2020-11-02,4
842038,2020-11-03,2
846030,2020-11-04,1
850023,2020-11-05,1
854016,2020-11-06,1
858009,2020-11-07,1
862002,2020-11-08,2
865995,2020-11-09,5
869988,2020-11-10,2
873982,2020-11-11,0
877987,2020-11-12,1
881993,2020-11-13,4
885999,2020-11-14,1
890005,2020-11-15,1
894011,2020-11-16,0
898017,2020-11-17,2
902023,2020-11-18,2
906029,2020-11-19,3
910035,2020-11-20,2
914041,2020-11-21,2
918047,2020-11-22,4
922053,2020-11-23,1
926060,2020-11-24,3
930067,2020-11-25,2
934074,2020-11-26,1
938081,2020-11-27,6
942088,2020-11-28,1
946095,2020-11-29,3
950102,2020-11-30,0
954109,2020-12-01,0
958116,2020-12-02,3
962123,2020-12-03,7
966130,2020-12-04,4
970137,2020-12-05,5
974144,2020-12-06,4
978151,2020-12-07,3
982158,2020-12-08,4
986165,2020-12-09,8
990172,2020-12-10,8
994179,2020-12-11,6
998186,2020-12-12,2
1002193,2020-12-13,7
1006200,2020-12-14,13
1010207,2020-12-15,12
1014214,2020-12-16,22
1018221,2020-12-17,11
1022228,2020-12-18,14
1026235,2020-12-19,15
1030242,2020-12-20,24
1034249,2020-12-21,24
1038256,2020-12-22,17
1042263,2020-12-23,17
1046270,2020-12-24,17
1050277,2020-12-25,20
1054284,2020-12-26,15
1058291,2020-12-27,11
1062298,2020-12-28,40
1066305,2020-12-29,20
1070312,2020-12-30,21
1074319,2020-12-31,17
364,2021-01-01,25
4371,2021-01-02,20
8379,2021-01-03,19
12387,2021-01-04,26
16395,2021-01-05,20
20403,2021-01-06,19
24411,2021-01-07,35
28419,2021-01-08,19
32427,2021-01-09,25
36435,2021-01-10,15
40443,2021-01-11,25
44451,2021-01-12,20
48459,2021-01-13,10
52467,2021-01-14,22
56475,2021-01-15,19
60484,2021-01-16,13
64493,2021-01-17,15
68502,2021-01-18,19
72511,2021-01-19,17
76520,2021-01-20,16
80529,2021-01-21,12
84539,2021-01-22,9
88549,2021-01-23,12
92559,2021-01-24,11
96569,2021-01-25,11
100579,2021-01-26,7
104589,2021-01-27,8
108599,2021-01-28,13
112609,2021-01-29,15
116619,2021-01-30,6
120629,2021-01-31,5
124639,2021-02-01,10
128649,2021-02-02,6
132659,2021-02-03,7
136669,2021-02-04,11
140679,2021-02-05,5
144689,2021-02-06,7
148699,2021-02-07,3
152709,2021-02-08,8
156719,2021-02-09,4
160729,2021-02-10,10
164739,2021-02-11,11
168749,2021-02-12,7
172759,2021-02-13,8
176769,2021-02-14,5
180779,2021-02-15,7
184789,2021-02-16,4
188799,2021-02-17,6
192809,2021-02-18,6
196820,2021-02-19,3
200830,2021-02-20,4
204840,2021-02-21,5
208850,2021-02-22,11
212860,2021-02-23,3
216870,2021-02-24,5
220880,2021-02-25,4
224890,2021-02-26,10
