,sample_size,sum,mean,median,mode,std,var,skew,kurtosis,min,max,range
Confiremd,365,19620952,53756.03288,7210,"1617, 1803, 35883 (2ȸ)",99022.34034,9805423887,2.544091706,6.550822005,0,621317,621317
Deahts,365,22970,62.93150685,23,"6, 7, 9 (13ȸ)",93.13477181,8674.08572,2.26909325,4.467725193,0,470,470
