,Confirmed,Deaths
2022-04-23,64725,109
2022-04-24,34370,110
2022-04-25,80301,0
2022-04-26,76761,223
2022-04-27,0,0
2022-04-28,107990,258
2022-04-29,43262,70
2022-04-30,37771,81
2022-05-01,20084,83
2022-05-02,51020,49
2022-05-03,49038,72
2022-05-04,42277,79
2022-05-05,26714,48
2022-05-06,39552,83
2022-05-07,40064,71
2022-05-08,20601,40
2022-05-09,49896,62
2022-05-10,43899,29
2022-05-11,35883,63
2022-05-12,32409,52
2022-05-13,29541,55
2022-05-14,25434,48
2022-05-15,13296,35
2022-05-16,35072,27
2022-05-17,31315,31
2022-05-18,28105,40
2022-05-19,25108,43
2022-05-20,23442,26
2022-05-21,19298,54
2022-05-22,9975,22
2022-05-23,26313,19
2022-05-24,23938,23
2022-05-25,18797,34
2022-05-26,16567,40
2022-05-27,14382,36
2022-05-28,12654,19
2022-05-29,6139,9
2022-05-30,17176,9
2022-05-31,15777,21
2022-06-01,9898,15
2022-06-02,12522,17
2022-06-03,12016,9
2022-06-04,9835,20
2022-06-05,5022,21
2022-06-06,6172,20
2022-06-07,13320,6
2022-06-08,12146,18
2022-06-09,9304,18
2022-06-10,8428,10
2022-06-11,7382,20
2022-06-12,3828,17
2022-06-13,9768,2
2022-06-14,9423,9
2022-06-15,7978,8
2022-06-16,7186,9
2022-06-17,6838,11
2022-06-18,6071,14
2022-06-19,3538,10
2022-06-20,9283,12
2022-06-21,8968,11
2022-06-22,7442,14
2022-06-23,7210,10
2022-06-24,6780,18
2022-06-25,6246,6
2022-06-26,3429,3
2022-06-27,9871,5
2022-06-28,10437,7
2022-06-29,9585,10
2022-06-30,9516,8
2022-07-01,10695,7
2022-07-02,10059,8
2022-07-03,6253,4
2022-07-04,18133,2
2022-07-05,19362,7
2022-07-06,18503,10
2022-07-07,19310,12
2022-07-08,20263,19
2022-07-09,20410,19
2022-07-10,12693,18
2022-07-11,37323,7
2022-07-12,40248,12
2022-07-13,39169,16
2022-07-14,38864,16
2022-07-15,41273,16
2022-07-16,40342,14
2022-07-17,26299,11
2022-07-18,73537,12
2022-07-19,76378,12
2022-07-20,71109,17
2022-07-21,68579,31
2022-07-22,68521,30
2022-07-23,65433,18
2022-07-24,35883,17
2022-07-25,99268,17
2022-07-26,100182,25
2022-07-27,88296,25
2022-07-28,85275,35
2022-07-29,81944,35
2022-07-30,73589,20
2022-07-31,44689,21
